Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount,# of Rooms
"Detached Single Family, 2 Stories",$17/month,2004,Bolingbrook,,"$360,000",, 2,,366 Sweet Gum St 60490,4.0,2.5,"3,033",,, 2, 1, 16, 4,,,," $12,751.46", 9
"Detached Single Family, 2 Stories",,1997,Bolingbrook,,"$320,000",, 6.5, Bolingbrook High School,3 Pheasant Chase Ct 60490,3.0,2.5,"1,973",,, 2, 1, 8, 8,,, 464," $7,664.82", 8
"Detached Single Family, 2 Stories",,1979,Bolingbrook,,"$266,000",, 2,,319 Applewood Ct 60440,4.0,2.5,"2,276",,, 2, 1, 10, 0,,,," $6,732.44", 8
"Detached Single Family, 2 Stories",$12/month,2003,Bolingbrook,,"$300,000",, 2, Bolingbrook High School,2 Palos Ct 60440,3.0,2.5,"2,713",,, 2, 1, 16, 0,,,," $11,280.86", 9
"Detached Single Family, 2 Stories",$29/month,2005,Bolingbrook,,"$410,000",, 3, Neuqua Valley High School,1728 Trevino Cir 60490,5.0,2.5,"4,013",,, 2, 1, 16, 4,,,," $12,546.32", 9
"Detached Single Family, 2 Stories",$29/month,2003,Bolingbrook,,"$323,000",, 2, Bolingbrook High School,4 Boxelder Ct 60490,4.0,3,"2,470",,, 2, 2, 18, 4,,, 1235," $11,808.96", 12
"Detached Single Family, 1 Story",,2001,Bolingbrook,,"$265,500",, 3,,1508 Lang Dr 60490,3.0,2,"1,667",,, 2,, 0, 0,,,," $9,667.10", 7
"Detached Single Family, 2 Stories",$28/month,2003,Bolingbrook,,"$280,000",, 2, Bolingbrook High School,206 Boxelder St 60490,4.0,2.5,"2,148",,, 2, 1, 14, 4,,,," $9,771.86", 9
"Detached Single Family, Split-Level",,1971,Bolingbrook,,"$269,000",, 2, Bolingbrook High School,704 N Ashbury Ave 60440,4.0,2.5,"1,915",,, 2, 1, 10, 6,,,," $6,728", 8
"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$370,000",, 3, Bolingbrook High School,4 Thrush Ct 60440,4.0,2.5,"2,192",,, 2, 1, 10, 10,,,," $9,634.32", 8
Single Family Residential,,1995,,,"$272,500",,,,230 Silverado St 60490,,1,"1,900",,,,, 0, 0,,,,,
"Detached Single Family, 2 Stories",$28/month,2003,Bolingbrook,,"$315,000",, 2, Bolingbrook High School,117 N Cranberry St 60490,4.0,2.5,"2,470",,, 2, 1, 14, 0,,,," $11,060.62", 8
"Detached Single Family, Split-Level",,1962,Bolingbrook,,"$147,000",, 2,,164 Kingston Rd 60440,4.0,1.5,"1,550",,, 1, 1, 0, 0,,,," $5,154.67", 7
Condo/Co-op,,2004,,,"$205,000",,,,17 Black Oak Ct 60490,2.0,2.5,"1,618",,,,, 0, 0,,,,, 6
"Attached Single Family, Townhouse (2 Story)",$162/month,2004,Bolingbrook,,"$217,000",, 2, Bolingbrook High School,1479 Shagbark Dr 60490,2.0,2.5,"1,438",,, 2, 1, 12, 0,,,," $5,138", 7
"Detached Single Family, 2 Stories",,1977,Bolingbrook,,"$195,000",, 4,,227 Radcliff Dr 60440,3.0,1.5,"1,390",,, 1, 1, 0, 0,,,," $4,108", 7
"Detached Single Family, 2 Stories",$28/month,1999,Bolingbrook,,"$325,000",, 2.1, Plainfield East High School,850 Dalton Ln 60490,4.0,2.5,"2,089",,, 2, 1, 10, 12,,,," $7,851", 9
"Detached Single Family, 2 Stories",$29/month,2013,Bolingbrook,,"$385,000",, 3, Plainfield East High School,2317 Pebblestone Way 60490,4.0,2.5,"3,238",,, 2, 1, 18, 2,,,," $8,503.96", 10
"Detached Single Family, 2 Stories",,1997,Bolingbrook,,"$247,000",, 2, Bolingbrook High School,556 Rebecca Ln 60440,3.0,2.5,"1,731",,, 2, 1, 8, 0,,,," $7,944.72", 7
"Detached Single Family, Split-Level",,1978,Bolingbrook,,"$282,000",, 2,,544 Whitehall Way 60440,6.0,3,"1,606",,, 3,, 16, 0,,,," $7,084", 10
"Detached Single Family, 2 Stories",$29/month,2009,Bolingbrook,,"$435,000",, 3, Plainfield East High School,1276 Twilight Way 60490,4.0,3.5,"4,138",,, 3, 1, 12, 14,,,," $10,622.86", 11
"Detached Single Family, 2 Stories",,1994,Bolingbrook,,"$290,000",, 2, Bolingbrook High School,1430 W Briarcliff Rd 60490,4.0,2.5,"2,550",,, 2, 1, 16, 4,,,," $9,237.08", 11
"Attached Single Family, Townhouse (2 Story)",$199/month,1972,Bolingbrook,,"$167,000",, 1,,222 Douglass Way 60440,3.0,2.5,"1,460",,, 2, 1, 0, 0,,,," $5,249.04", 7
Condo/Co-op,,1994,,,"$185,000",,,,305 Fieldstone Ct 60440,,2.5,"1,452",,,,, 0, 0,,,,,
"Detached Single Family, 1 Story",,1974,Bolingbrook,,"$205,000",, 1, Bolingbrook High School,832 Tamms Ln 60440,3.0,2,"1,292",,, 2,, 12, 0,,,," $4,993.22", 7
Other,,1991,,,"$172,000",,,,416 Lakeview Cir 60440,,2.5,"1,306",,,,, 0, 0,,,,,
"Detached Single Family, Raised Ranch",,1973,Bolingbrook,,"$280,000",, 2, Bolingbrook High School,528 Cottonwood Cir 60440,4.0,3,"2,355",,, 3,, 10, 0,,,," $6,984.88", 9
"Detached Single Family, 1 Story",,1975,Bolingbrook,,"$100,000",, 1, Bolingbrook High School,240 Bristol Way 60440,2.0,1,922,,, 1,, 0, 0,,,," $2,825.14", 5
"Detached Single Family, 2 Stories",$18/month,2006,Bolingbrook,,"$340,000",, 2,,337 Hogan St 60490,4.0,2.5,"3,200",,, 2, 1, 18, 6,,,," $13,454.90", 10
Single Family Residential,,1962,,,"$205,000",,,,534 Redwood Rd 60440,3.0,1.5,"1,435",,,,, 0, 0,,,,, 7
"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$235,000",, 2, Bolingbrook High School,1330 Parkside Dr 60490,3.0,2.5,"1,695",,, 2, 1, 6, 0,,,," $6,663.36", 7
Condo/Co-op,,1977,,,"$129,900",,,,4 Fernwood Dr 60440,,1.5,"1,314",,,,, 0, 0,,,,,
"Detached Single Family, 2 Stories",,2006,Bolingbrook,,"$312,000",, 2,,758 Rockhurst Rd 60440,4.0,3.5,,,, 3, 1, 10, 10,,,," $9,935.40", 12
"Detached Single Family, 1 Story",,1972,Bolingbrook,,"$180,000",, 2,,223 Prairie Cir 60440,3.0,1.5,"1,129",,, 1, 1, 0, 0,,,," $4,303.66", 6
"Attached Single Family, Townhouse (3+ Story)",$214/month,1998,Bolingbrook,,"$197,000",, 2,,106 Enclave Cir 60440,2.0,1.5,"1,800",,, 1, 1, 8, 0,,,," $4,601.46", 7
"Detached Single Family, 2 Stories",,1991,Bolingbrook,,"$285,000",, 2, South High School,331 83rd St 60440,3.0,2.5,"1,888",,, 2, 1, 2, 8,,,," $7,829", 7
"Detached Single Family, 1.5 Story",,1997,Bolingbrook,,"$237,000",, 2, Bolingbrook High School,222 Steamboat Ln 60490,3.0,2,"1,800",,, 2,, 12, 0,,,," $6,397.36", 7
"Detached Single Family, 1 Story",,2003,Bolingbrook,,"$275,000",, 4, Bolingbrook High School,1524 Comanche Dr 60490,3.0,2.5,"1,667",,, 2, 1, 8, 8,,, 0," $8,900.42", 7
"Detached Single Family, 2 Stories",,2002,Bolingbrook,,"$290,000",, 2.5, Bolingbrook High School,244 Fox Bend Cir 60440,4.0,3,"2,500",,, 3,, 14, 8,,,," $8,916", 10
"Detached Single Family, 2 Stories",,1998,Bolingbrook,,"$234,900",, 2,,507 Hillcrest Dr 60440,3.0,1.5,"1,657",,, 1, 1, 6, 0,,,," $6,628", 7
"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$254,900",, 2, Bolingbrook High School,220 Hampshire Ln 60440,4.0,3,"2,050",,, 3,, 0, 0,,,,, 8
"Attached Single Family, Townhouse (2 Story)",$174/month,2001,Bolingbrook,,"$220,000",, 2,,356 Aaron Ln 60440,2.0,2.5,"1,768",,, 2, 1, 10, 0,,,," $6,429.60", 6
Single Family Residential,,1994,,,"$320,000",,,,255 Heritage Ct 60490,5.0,3.5,"2,510",,,,, 0, 0,,,,,
"Detached Single Family, 2 Stories",,1994,Bolingbrook,,"$335,000",, 2.5, Bolingbrook High School,444 Pheasant Chase Dr 60490,3.0,3.5,"2,200",,, 3, 1, 10, 10,,,," $9,621.74", 9
"Detached Single Family, Split-Level",,1971,Bolingbrook,,"$230,009",, 2,,1 Haverhill Ct 60440,4.0,2.5,"1,915",,, 2, 1, 12, 0,,,," $6,479.20", 8
"Detached Single Family, 2 Stories",,1987,Woodridge,,"$329,000",, 2, South High School,8413 Chelsea Ln 60517,4.0,2.5,"2,010",,, 2, 1, 14, 4,,,," $8,600.12", 8
Other,,1997,,,"$375,000",,,,668 Tall Grass Dr 60440,,3.5,"2,249",,,,, 0, 0,,,,,
"Detached Single Family, 1 Story",,1990,Bolingbrook,,"$249,900",, 2, Bolingbrook High School,718 Westchester Ln 60440,3.0,1.5,"1,750",,, 1, 1, 2, 8,,,," $4,653.16", 6
"Detached Single Family, Raised Ranch",,1976,Bolingbrook,,"$213,000",, 1,,217 Yellow Pine Dr 60440,3.0,1.5,"1,456",,, 1, 1, 2, 0,,,," $4,637.36", 7
"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$237,500",, 2,,723 Rebecca Ln 60440,3.0,2,"1,700",,, 2,, 0, 0,,,," $7,368", 7
