Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
Single Family Residential,$20/month,1977,Naperville,,"$529,000","$3,336", 2, Naperville North High School,23W380 Chantilly Ct 60540,4.0,2.5,"2,400", Natural Gas, Central Air, 2, 1, 4, 6, Full, Finished,," $8,188.18"
Single Family Residential,,1978,Hobson Woods,,"$749,900","$4,738", 2, Naperville North High School,962 Honest Pleasure Dr 60540,5.0,2.5,"3,351", Forced Air, Central Air, 2, 1, 0, 11, Partial, Finished," 1,230"," $12,057.70"
Townhouse,$325/month,1990,The Fields,,"$399,900","$2,914", 2, Metea Valley High School,953 Heathrow Ln 60540,3.0,3.5,"1,629"," Natural Gas, Forced Air", Central Air, 3, 1, 4, 4, Full, Finished,," $7,177.64"
Single Family Residential,,1993,Brookwood Trace,,"$629,900","$4,076", 2, Neuqua Valley High School,2507 Nottingham Ln 60565,4.0,3,"2,829", Natural Gas, Central Air, 2, 2, 9, 1, Full, Finished,," $11,281.90"
Single Family Residential,,1985,Brook Crossing,,"$489,900","$3,147", 2, Neuqua Valley High School,1262 Hearthside Ct 60564,4.0,2.5,"2,270"," Natural Gas, Forced Air", Central Air, 2, 1, 7, 0, Full, Finished," 1,147"," $8,500.18"
Condo,$190/month,2002,Windridge,,"$240,000","$1,697", 2, Neuqua Valley High School,2811 Rutland Cir 60564,2.0,2,"1,101"," Natural Gas, Forced Air", Central Air, 2,, 5, 0,, None,," $3,748"
Condo,$381/month,1985,Chantecleer Lakes,,"$199,999","$1,625", 1, Waubonsie Valley High School,1336 McDowell Rd 60563,3.0,2,"1,155"," Natural Gas, Forced Air", Central Air, 2,, 1, 3,, None,," $2,979.12"
Townhouse,$250/month,2003,Tall Grass,,"$349,999","$2,596", 2, Waubonsie Valley High School,2957 Saganashkee Ln 60564,3.0,2.5,"1,962"," Natural Gas, Forced Air", Central Air, 2, 1, 4, 3, Full, Unfinished,," $7,246.38"
Townhouse,$458/month,2018,Naperville,,"$1,990,000","$12,780", 2, Naperville Central High School,130 Aurora Ave 60540,3.0,4,"4,105", Natural Gas, Central Air, 3, 2, 0, 11, Full, Unfinished,," $28,978.18"
Single Family Residential,$29/month,1999,Heatherstone,,"$499,000","$3,276", 2, Waubonsie Valley High School,3408 Interlochen Ln 60564,4.0,3,"2,183"," Natural Gas, Forced Air", Central Air, 2, 2, 6, 4, Full, Finished," 1,076"," $9,152.06"
Single Family Residential,$54/month,1996,Ashbury,,"$635,000","$4,194", 3, Neuqua Valley High School,3836 Mandeville Ln 60564,5.0,3.5,"2,983"," Natural Gas, Forced Air", Central Air, 3, 1, 7, 1, Full, Finished," 1,092"," $11,750.36"
Single Family Residential,$54/month,1992,Ashbury,,"$700,000","$4,515", 2, Neuqua Valley High School,3644 Eliot Ln 60564,4.0,3.5,"2,833", Natural Gas, Central Air, 3, 1, 9, 5, Partial," Finished,Crawl,Rec/Family Area,Storage Space"," 1,190"," $11,714.52"
Condo,$246/month,1984,Old Sawmill,,"$195,000","$1,479", 1,,2049 Lancaster Cir 60565,2.0,2,"1,081"," Natural Gas, Forced Air", Central Air, 2,, 5, 0,, Slab,," $3,152.68"
Single Family Residential,,1987,Country Lakes,,"$419,900","$2,620", 2, Metea Valley High School,2080 Maplewood Cir 60563,5.0,3,"2,576"," Natural Gas, Forced Air", Central Air, 3,, 7, 1," Full, English", Finished,," $6,355"
Condo,$450/month,2005,Naperville,,"$369,900","$2,842", 2, Naperville North High School,104 E 11th Ave 60563,2.0,2,"1,657"," Natural Gas, Forced Air", Central Air, 2,, 1, 1,, None,," $6,610.32"
Condo,$359/month,1982,The Mansions,,"$375,000","$2,571", 2, Naperville North High School,1133 Spring Garden Cir 60563,3.0,2,"1,805", Natural Gas, Central Air, 2,, 3, 0,, None,," $4,136.08"
Single Family Residential,,1985,Naperville,,"$650,000","$4,192", 4.5, Metea Valley High School,1154 Palmetto Ct 60540,5.0,2.5,"2,989", Natural Gas, Central Air, 2, 1, 1, 10, Partial, Partially Finished,," $11,469.56"
Single Family Residential,,1978,Naperville,,"$399,000","$2,498", 2,,5 Redstart Rd 60565,4.0,2,," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $6,145"
Townhouse,$225/month,1994,Estes Park,,"$259,000","$1,883", 1, Metea Valley High School,1215 Denver Ct 60540,2.0,2.5,"1,500"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 0,, Slab,," $4,426.74"
Single Family Residential,$58/month,1990,Naperville,,"$679,000","$4,581", 2, Neuqua Valley High School,2716 Cheyenne Dr 60565,5.0,3.5,"3,753"," Natural Gas, Zoned", Central Air, 3, 1, 11, 2, Partial, Partially Finished,," $13,717.82"
Single Family Residential,,1979,Naperville,,"$425,000","$2,658", 2,,1772 Brookdale Rd 60563,3.0,2.5,"1,564", Other, Central Air, 2, 1, 0, 0, Full, Finished,," $6,505.38"
Single Family Residential,,1984,Fontenaix,,"$474,900","$3,054", 2.5, Naperville North High School,953 Greensboro Ct 60540,4.0,3,"3,040"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 3,, 2, 0, Full," Finished,Sub-Basement"," 1,284"," $8,283.18"
Single Family Residential,,1975,Naper Carriage Hill,,"$575,000","$3,671", 2, Naperville Central High School,1937 Coach Dr 60565,5.0,2.5,"2,524"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 5, Full, Finished,," $9,706"
Single Family Residential,$87/month,1988,White Eagle,,"$525,000","$3,733", 3, Waubonsie Valley High School,3822 White Eagle Dr 60564,5.0,3.5,"4,158", Natural Gas, Central Air, 3, 1, 4, 5, Full, Finished," 2,103"," $12,387.10"
Single Family Residential,,1959,Naperville,,"$276,000","$1,613", 1, Naperville North High School,104 W 11th Ave 60563,3.0,1,"1,056"," Natural Gas, Baseboard", Central Air, 1,, 1, 3, Full, Unfinished,," $2,865.78"
Single Family Residential,$87/month,1990,White Eagle,,"$769,000","$4,966", 3, Waubonsie Valley High School,1400 Isleworth Ct 60564,4.0,3,"3,839"," Natural Gas, Forced Air", Central Air, 3,, 6, 8, Partial, Finished,," $12,609.26"
Single Family Residential,$17/month,1994,High Meadow,,"$624,900","$3,877", 2, Neuqua Valley High School,5024 Coneflower Dr 60564,5.0,3.5,"2,200", Natural Gas, Central Air, 3, 1, 0, 3, Full, Finished,," $8,987.22"
Single Family Residential,$52/month,1978,Steeple Run,,"$380,000","$2,475", 2, Naperville North High School,24W501 Surf Ct 60540,3.0,2,"1,495"," Natural Gas, Forced Air", Central Air, 2,, 3, 3,, Slab,," $6,373.34"
Single Family Residential,,1978,Naperville,,"$589,900","$3,680", 2, Naperville North High School,1222 Whitingham Cir 60540,3.0,2,"2,089"," Natural Gas, Forced Air", Central Air, 2,, 0, 7, Full, Unfinished,," $8,923.18"
Single Family Residential,,1985,Naperville,,"$364,900","$2,329", 2, Naperville North High School,1260 Brookline Ct 60563,4.0,2.5,"1,729"," Natural Gas, Forced Air", Central Air, 2, 1, 7, 0,, Slab,," $6,150"
Condo,$240/month,1985,Naperville,"$150,000","$150,000","$1,197", 2, Metea Valley High School,1312 McDowell Rd 60563,1.0,1,675," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $2,523.38"
Single Family Residential,,1963,Naperville,"$349,900","$349,900","$2,280", 1, Naperville Central High School,25 W 75th St 60564,5.0,2,"2,798"," Natural Gas, Forced Air",, 2,, 1, 5, Walkout," Finished,Exterior Access",," $6,455"
Single Family Residential,$25/month,1996,River Run,"$715,000","$715,000","$4,804", 3, Neuqua Valley High School,4108 Falkner Dr 60564,4.0,4.5,"3,535"," Natural Gas, Forced Air", Central Air, 4, 1, 12, 2," Full, English"," Finished,Crawl",," $14,631"
Single Family Residential,,1986,Fontenaix,"$1,099,000","$1,099,000","$6,288", 3.5, Naperville North High School,1030 Colonial Ct 60540,3.0,2.5,"2,546", Natural Gas, Central Air, 2, 1, 3, 6, Partial, Partially Finished,," $9,807.32"
Townhouse,$226/month,2020,Warrenville,"$460,000","$460,000","$3,274", 4, Wheaton Warrenville South H S,3S510 Barkley Ave 60563,3.0,2.5,"1,914"," Natural Gas, Electric, Forced Air", Central Air, 2, 1, 3, 3, Full," Unfinished,Other,Bathroom Rough-In",," $9,091.68"
Multi-Family (2-4 Unit),,1882,Naperville,"$785,000","$785,000","$4,980", 6, Naperville North High School,206 N Ellsworth St 60540,5.0,3.5,, Natural Gas,, 3, 1, 0, 0, Full," Unfinished,Exterior Access",," $12,868"
Single Family Residential,,1988,,,"$570,163",,,,921 Eddystone Cir 60565,4.0,2.5,"3,262",,,,, 0, 0,,,,
Townhouse,$250/month,1999,Signature Club,,"$312,000","$2,334", 2, Waubonsie Valley High School,3307 Cool Springs Ct 60564,3.0,2.5,"2,012", Natural Gas, Central Air, 2, 1, 3, 0,, None,," $6,374.70"
Single Family Residential,$122/month,2006,Naperville,,"$1,110,000","$7,104", 3, Waubonsie Valley High School,4731 Sassafras Ln 60564,4.0,5,"4,334", Natural Gas, Central Air, 5,, 4, 6," Full, Walkout"," Finished,Exterior Access,Egress Window",," $17,475.66"
Townhouse,$309/month,1997,Carrolwood,,"$240,000","$1,836", 2, Indian Plains Alternative H S,2510 Carrolwood Rd 60540,2.0,2.5,"1,324", Natural Gas, Central Air, 2, 1, 0, 2,, Slab,," $3,992.32"
Condo,$190/month,2003,Windridge,,"$230,000","$1,644", 1, Neuqua Valley High School,2806 Vernal Ln 60564,2.0,1.5,"1,138"," Natural Gas, Forced Air", Central Air, 1, 1, 2, 0,, None,," $3,707.24"
Single Family Residential,,1959,West Highlands,,"$525,000","$3,232", 2.5, Naperville Central High School,344 Hemlock Ln 60540,4.0,3,"2,391"," Natural Gas, Forced Air", Central Air, 3,, 2, 5,, Crawl,," $7,422.40"
Townhouse,$325/month,1989,The Fields,,"$380,000","$2,782", 2, Metea Valley High School,903 Heathrow Ln 60540,3.0,2.5,"1,630"," Natural Gas, Forced Air", Central Air, 2, 1, 5, 1, Full, Finished, 953," $6,778.96"
Single Family Residential,,1969,Will-O-Way,,"$425,000","$2,753", 2, Naperville Central High School,1216 Evergreen Ave 60540,3.0,2.5,"1,892"," Natural Gas, Forced Air", Central Air, 2, 1, 1, 5, Partial, Unfinished,," $7,650.28"
Condo,$310/month,1986,Creekside,,"$253,900","$1,864", 1, Naperville North High School,628 Dana Ct 60563,2.0,2,"1,180"," Natural Gas, Forced Air", Central Air, 2,, 4, 0,, None,," $3,480"
Single Family Residential,,1994,White Eagle,,"$859,000","$5,974", 3, Waubonsie Valley High School,4211 Legend Ct 60564,5.0,4,"5,184", Natural Gas, Central Air, 3, 2, 8, 6, Full," Partially Finished,Crawl",," $20,376"
Single Family Residential,,1989,The Fields,,"$500,000","$3,284", 2, Metea Valley High School,1222 Ardmore Dr 60540,4.0,2.5,"2,541", Natural Gas, Central Air, 2, 1, 8, 0, Partial, Finished,," $9,541.54"
Condo,$203/month,2002,Windridge,,"$240,000","$1,756", 2, Neuqua Valley High School,2956 Rutland Cir 60564,3.0,2.5,"1,270", Natural Gas, Central Air, 2, 1, 5, 0,, Slab,," $4,298.20"
Single Family Residential,,1985,Pembroke Commons,,"$720,000","$4,680", 3, Naperville North High School,941 Byron Ct 60540,5.0,3.5,"3,416"," Natural Gas, Forced Air", Central Air, 3, 1, 10, 1," Full, English"," Finished,Lookout,Storage Space",," $13,142.98"
Single Family Residential,$13/month,1987,Heritage Knolls,,"$685,000","$4,376", 2, Naperville Central High School,304 Arlington Ave 60565,4.0,2.5,"2,952", Natural Gas, Central Air, 2, 1, 0, 9, Full, Unfinished,," $11,429"
Single Family Residential,,1985,Farmington,,"$610,000","$3,952", 2, Naperville Central High School,2441 Remington Dr 60565,4.0,2.5,"2,836"," Natural Gas, Forced Air", Central Air, 2, 1, 10, 3, Full," Finished,Unfinished,Crawl,Concrete (Basement),Rec/Family Area,Storage Space", 976," $10,988"
Single Family Residential,,1977,Naperville,,"$485,000","$2,916", 2.5, Neuqua Valley High School,11S528 Book Rd 60564,3.0,3,"2,297", Natural Gas, Central Air, 3,, 0, 0,, Crawl,," $6,020.20"
Single Family Residential,,1967,Maplebrook II,,"$425,000","$2,729", 2, Naperville Central High School,29 Swift Ln 60565,4.0,2,"1,824"," Natural Gas, Forced Air", Central Air, 2,, 2, 4, Partial," Unfinished,Crawl",," $7,360.16"
Single Family Residential,,1986,Hobson Greene,,"$817,000","$5,353", 3, Naperville Central High School,23W241 Oxer Ct 60540,4.0,3.5,"4,228"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 3, 1, 10, 3, Full," Finished,Storage Space"," 1,678"," $15,429.74"
Townhouse,$352/month,1989,The Fields,,"$275,000","$2,141", 1, Metea Valley High School,1206 Rhodes Ln 60540,2.0,2.5,"1,582"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 0,, None,," $5,036.44"
Single Family Residential,$75/month,2018,Atwater,,"$630,000","$4,188", 2, Metea Valley High School,1428 Bayou Path Dr 60563,4.0,2.5,"3,017", Natural Gas, Central Air, 2, 1, 7, 5, Full, Unfinished," 1,469"," $11,717.78"
Condo,$282/month,1987,Winchester Place,,"$195,000","$1,511", 1, Naperville Central High School,210 Hampshire Ct 60565,2.0,1,"1,216"," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $3,098.50"
Single Family Residential,$25/month,1995,River Run,,"$799,900","$5,258", 3, Neuqua Valley High School,4104 Emporia Ct 60564,5.0,3,"3,755", Natural Gas, Central Air, 3,, 9, 5, Full," Unfinished,Bathroom Rough-In,Egress Window,8 ft + pour,Concrete (Basement),Storage Space"," 1,972"," $15,014"
Townhouse,$356/month,2001,Riverbrook West,,"$295,000","$2,255", 2, Metea Valley High School,1714 Windward Ave 60563,3.0,2.5,"1,538"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 3, Full, Finished,," $5,169.80"
Townhouse,$203/month,2002,Naperville,,"$249,000","$1,794", 2, Neuqua Valley High School,2336 Sheehan Dr 60564,2.0,1.5,"1,270", Natural Gas, Central Air, 1, 1, 4, 0,, None,," $4,212.16"
Townhouse,$421/month,2009,Carillon Club,,"$449,900","$3,290", 2,,2944 Normandy Cir 60564,3.0,3,"1,860"," Natural Gas, Forced Air", Central Air, 3,, 3, 4, Full, Partially Finished," 1,860"," $7,557.84"
Condo,$311/month,1985,Chantecleer Lakes,,"$174,800","$1,420", 1, Metea Valley High School,1356 McDowell Rd 60563,2.0,1,838," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $2,861.58"
Single Family Residential,$17/month,1996,High Meadow,,"$575,000","$3,779", 2, Neuqua Valley High School,2524 High Meadow Rd 60564,4.0,4,"2,700"," Natural Gas, Forced Air", Central Air, 4,, 1, 0," Full, English", Finished,," $10,796.60"
Single Family Residential,$4/month,1986,Winding Creek,,"$710,000","$4,510", 2, Naperville Central High School,412 Flock Ave 60565,4.0,4,"3,489"," Natural Gas, Forced Air", Central Air, 4,, 3, 10, Full," Finished,Crawl",," $11,659.14"
Townhouse,$207/month,2000,Bridgewater,,"$309,900","$2,200", 2, Metea Valley High School,608 Esla Ct 60563,2.0,2.5,"1,552"," Natural Gas, Forced Air", Central Air, 2, 1, 7, 1, Full, Finished, 672," $5,404.88"
Townhouse,$55/month,1985,Waterfront Estates,,"$275,000","$1,747", 1, Naperville Central High School,140 Pier Ct 60565,3.0,1.5,"1,314"," Natural Gas, Forced Air", Central Air, 1, 1, 0, 1,, Slab,," $3,870.60"
Single Family Residential,,1995,Wildflower,,"$475,000","$2,982", 2, Metea Valley High School,823 Violet Cir 60540,3.0,2.5,"1,739"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Partial, Partially Finished,," $7,405.16"
Condo,$369/month,1989,Naperville,,"$189,500","$1,580", 2, Naperville North High School,451 Valley Dr 60563,2.0,2,"1,198", Natural Gas, Central Air, 2,, 1, 0,, None,," $3,208"
Single Family Residential,$53/month,1974,Naperville,,"$499,900","$3,227", 2, Naperville North High School,6S160 Carlyle Ct 60540,4.0,2.5,"2,031"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 0, Partial," Unfinished,Crawl",," $8,219.32"
Single Family Residential,$122/month,2005,Ashwood Park,,"$859,000","$5,910", 3, Waubonsie Valley High School,4623 Sassafras Ln 60564,5.0,5.5,"4,450"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 5, 1, 8, 3, Full," Unfinished,Bathroom Rough-In",," $18,140.02"
Single Family Residential,,1967,Maplebrook II,"$399,800","$399,800","$2,520", 2, Naperville Central High School,17 Bunting Ln 60565,3.0,2.5,"2,328"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 3,, Crawl,," $6,353.40"
Single Family Residential,,1977,Naperville,"$539,000","$539,000","$3,438", 2, Naperville North High School,1654 Apache Dr 60563,4.0,2.5,"2,700"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 4,, None,," $9,061.44"
Single Family Residential,$53/month,1982,Hobson West,"$695,000","$695,000","$4,636", 2, Naperville Central High School,875 Okolona Ct 60540,4.0,3,"3,593", Natural Gas, Central Air, 3,, 6, 6, Full, Finished," 1,777"," $13,480.56"
Single Family Residential,,1978,Will-O-Way,"$397,900","$397,900","$2,505", 2, Naperville Central High School,1453 Briarwood Dr 60540,3.0,1.5,"1,901"," Natural Gas, Forced Air", Central Air, 1, 1, 0, 0, Partial, Partially Finished,," $6,292.16"
Single Family Residential,,1999,Naperville,"$746,778","$746,778","$4,476", 3, Neuqua Valley High School,27W490 Mayfield Ct 60565,5.0,3,"3,506", Natural Gas, Central Air, 3,, 6, 3, Full, Unfinished," 1,800"," $9,102.02"
Single Family Residential,,1972,Naperville,"$599,000","$599,000","$3,611", 2, Neuqua Valley High School,24459 Davids Ct 60564,4.0,2.5,"3,059"," Natural Gas, Forced Air", Central Air, 2, 1, 4, 4, Partial, Unfinished, 725," $7,549.36"
Single Family Residential,$54/month,1973,Steeple Run,"$385,000","$385,000","$2,538", 2.1, Naperville North High School,6S631 Avon Ct 60540,3.0,2,"1,800"," Natural Gas, Electric, Solar", Central Air, 2,, 5, 1, Partial, Crawl,," $6,807.14"
Single Family Residential,$46/month,1978,Cress Creek,"$749,900","$749,900","$4,843", 2, Naperville North High School,1134 Kings Point Ct 60563,4.0,2.5,"3,227"," Natural Gas, Forced Air", Central Air, 2, 1, 5, 9, Partial, Finished, 869," $12,764.90"
Single Family Residential,,1980,Hobson Woods,"$899,000","$899,000","$5,360", 2, Naperville North High School,791 E Gartner Rd 60540,4.0,2.5,"3,159"," Natural Gas, Forced Air, Indv Controls, Zoned"," Central Air, Zoned", 2, 1, 3, 8, Partial, Partially Finished, 938," $10,613.96"
Condo,$310/month,2000,Enclave at Country Lakes,"$244,900","$244,900","$1,879", 3,,911 Genesee Dr 60563,2.0,2.5,"1,412", Natural Gas, Central Air, 2, 1, 2, 0,, None,," $4,196"
Single Family Residential,,1982,Naperville,"$900,000","$900,000","$5,764", 2.5, Naperville North High School,7S500 Oak Trails Dr 60540,4.0,2.5,"5,118", Natural Gas, Central Air, 2, 1, 5, 1, Full, Unfinished,," $15,407"
Single Family Residential,,1998,West Wind Estates,"$650,000","$650,000","$4,140", 2, Metea Valley High School,1719 Chadwicke Cir 60540,4.0,2.5,"2,637"," Natural Gas, Forced Air", Central Air, 2, 1, 1, 10, Full, Finished,," $10,849.04"
Single Family Residential,,2002,East Highlands,"$1,020,000","$1,020,000","$6,802", 2.5, Naperville North High School,1076 Prairie Ave 60540,4.0,3.5,"3,653", Natural Gas, Central Air, 3, 1, 4, 4, Full, Unfinished," 2,206"," $20,684.12"
Single Family Residential,$4/month,1966,Maplebrook I,"$390,000","$390,000","$2,461", 2, Naperville Central High School,4 Tamarack Ave 60540,3.0,2,"1,296"," Natural Gas, Electric", Central Air, 2,, 0, 0, English," Finished,Crawl,Egress Window,Rec/Family Area,Storage Space", 648," $6,189.82"
Single Family Residential,,1954,Naperville,"$579,000","$579,000","$3,633", 2, Naperville North High School,807 Douglas Ave 60540,3.0,2,983, Natural Gas, Central Air, 2,, 2, 4, Full, Partially Finished, 983," $9,012.64"
Condo,$283/month,1980,Whispering Hills,"$145,000","$145,000","$1,174", 2, Naperville North High School,1208 Whispering Hills Ct 60540,2.0,1,895, Baseboard,, 1,, 2, 0,, None,," $2,033.96"
Single Family Residential,$87/month,2019,White Eagle,"$1,400,000","$1,400,000","$9,610", 3, Waubonsie Valley High School,3311 Club Ct 60564,5.0,5.5,"4,670", Natural Gas, Central Air, 5, 1, 5, 5, Full, Finished," 2,007"," $30,645.82"
Vacant Land,$27/month,,Bridgewater,"$84,900","$84,900",$468,, Dekalb,2112 Golfview DR 46706,,,0.43,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$79,900","$79,900",$442,, Dekalb,2012 Golfview DR 46706,,,0.36,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$79,900","$79,900",$442,, Dekalb,1908 Golfview DR 46706,,,0.38,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$79,900","$79,900",$442,, Dekalb,2004 Golfview DR 46706,,,0.35,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$79,900","$79,900",$442,, Dekalb,1912 Golfview DR 46706,,,0.36,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$79,900","$79,900",$442,, Dekalb,2104 Golfview DR 46706,,,0.36,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$74,900","$74,900",$417,, Dekalb,2207 Golfview DR 46706,,,0.42,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$99,900","$99,900",$545,, Dekalb,2200 Golfview DR 46706,,,0.62,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$84,900","$84,900",$468,, Dekalb,2220 Golfview DR 46706,,,0.42,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$79,900","$79,900",$442,, Dekalb,1904 Golfview DR 46706,,,0.38,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$84,900","$84,900",$468,, Dekalb,2216 Golfview DR 46706,,,0.43,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$74,900","$74,900",$417,, Dekalb,2213 Golfview DR 46706,,,0.46,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$79,900","$79,900",$442,, Dekalb,2000 Golfview DR 46706,,,0.32,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$79,900","$79,900",$442,, Dekalb,2008 Golfview DR 46706,,,0.36,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$99,900","$99,900",$545,, Dekalb,1913 Golfview DR 46706,,,0.51,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$84,900","$84,900",$468,, Dekalb,2217 Golfview DR 46706,,,0.46,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$89,900","$89,900",$494,, Dekalb,2224 Golfview DR 46706,,,0.51,,,,, 0, 0,,,,
Vacant Land,$27/month,,Bridgewater,"$84,900","$84,900",$468,, Dekalb,2201 Golfview DR 46706,,,0.57,,,,, 0, 0,,,,
Townhouse,$309/month,2021,Naperville,"$510,000","$510,000","$2,998", 2, Naperville Central High School,623 Bourbon Ln 60565,3.0,2.5,"2,182", Natural Gas, Central Air, 2, 1, 3, 3, Full, Cellar,," $1,801"
Condo,$277/month,1993,Lancaster Coach,"$265,000","$265,000","$1,900", 1.5, Naperville Central High School,1922 Wisteria Ct 60565,2.0,2.5,"1,269"," Natural Gas, Forced Air", Central Air, 2, 1, 5, 0, Full, Finished,," $3,649.34"
Single Family Residential,$19/month,1993,High Meadow,"$599,900","$599,900","$3,972", 2, Neuqua Valley High School,2128 Yellowstar Ln 60564,5.0,3.5,"3,126", Natural Gas, Central Air, 3, 1, 11, 2," Full, English", Finished,," $11,593.86"
Single Family Residential,,1962,Saybrook,"$499,000","$499,000","$3,121", 2, Naperville North High School,1204 Trefoil Ct 60563,3.0,2,"1,492", Natural Gas, Central Air, 2,, 0, 9, Partial," Unfinished,Crawl", 746," $7,639.26"
Single Family Residential,,2002,Naperville,"$1,499,000","$1,499,000","$9,450", 3, Naperville North High School,122 Loomis St 60540,4.0,4.5,"4,198", Natural Gas," Central Air, Zoned", 4, 1, 0, 15, Full," Partially Finished,Concrete (Basement),Rec/Family Area"," 1,000"," $23,850.54"
Single Family Residential,$8/month,1986,Walnut Ridge,"$799,900","$799,900","$4,988", 2, Naperville Central High School,2233 Augustana Ct 60565,4.0,4,"3,386", Natural Gas, Central Air, 4,, 0, 8, Partial, Partially Finished," 1,571"," $11,972"
Single Family Residential,$58/month,2002,Bonnema Woods,"$1,785,000","$1,785,000","$11,335", 4, Naperville Central High School,1212 Bonnema Ct 60565,6.0,5.5,"6,432"," Natural Gas, Forced Air", Central Air, 5, 1, 12, 4," Full, English"," Finished,Lookout,Rec/Family Area",," $28,685"
Single Family Residential,$13/month,1995,Lakewood Crossing,"$414,900","$414,900","$2,693", 2, Metea Valley High School,2020 Schumacher Ln 60540,3.0,2.5,"1,560"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 8, Partial," Finished,Crawl",," $7,370.78"
Single Family Residential,,1891,Naperville,"$775,000","$775,000","$4,246", 3.5, Neuqua Valley High School,11S767 Book Rd 60564,4.0,3,"3,300"," Natural Gas, Forced Air, Steam", Central Air, 3,, 0, 9, Partial," Unfinished,Cellar", 951," $4,654.68"
Townhouse,$285/month,1994,Rose Hill Farm,"$349,900","$349,900","$2,527", 2, Neuqua Valley High School,1042 Saratoga Rd 60564,3.0,2.5,"1,856"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 3, Full, Unfinished,," $6,006"
Single Family Residential,$87/month,1996,White Eagle,"$999,900","$999,900","$6,847", 3, Waubonsie Valley High School,2483 Fawn Lake Cir 60564,6.0,4.5,"5,800"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 4, 1, 10, 5, Full," Partially Finished,Exterior Access",," $21,391"
Single Family Residential,,1985,Eagle Chase,"$645,000","$645,000","$4,081", 6, Naperville North High School,1628 Chippewa Dr 60563,5.0,3.5,"2,900"," Natural Gas, Forced Air", Central Air, 3, 1, 6, 4, Full," Finished,Egress Window,Rec/Family Area,Sleeping Area,Storage Space",," $10,442"
Single Family Residential,,1976,Naperville,"$410,000","$410,000","$2,663", 2, Naperville North High School,329 Pearson Cir 60563,3.0,2.5,"1,874"," Natural Gas, Forced Air", Central Air, 2, 1, 1, 0, Full, Partially Finished, 744," $7,467.65"
Townhouse,$300/month,1990,Naperville,"$389,986","$389,986","$2,892", 2, Metea Valley High School,939 Heathrow Ln 60540,3.0,2.5,"1,629"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Full," Unfinished,Bathroom Rough-In",," $7,808.64"
Single Family Residential,,2001,Country Lakes,"$599,900","$599,900","$3,787", 2, Metea Valley High School,1012 Prairie View Ct 60563,5.0,2.5,"2,706", Natural Gas, Central Air, 2, 1, 9, 3, Full, Finished,," $9,605.46"
Single Family Residential,,1992,Naperville,"$674,900","$674,900","$4,514", 3, Naperville Central High School,2151 Primrose Ln 60565,5.0,4,"3,700", Natural Gas, Central Air, 4,, 11, 1, Walkout," Finished,Rec/Family Area"," 1,790"," $13,855.44"
Single Family Residential,,1989,Naperville,"$459,000","$459,000","$3,020", 2, Metea Valley High School,1618 Lois Ann Ln 60563,4.0,2.5,"2,270", Natural Gas, Central Air, 2, 1, 4, 3, English, Finished,," $8,816.52"
