Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
Townhouse,$117/month,1974,Naperville,,"$387,500","$2,554", 2, Naperville North High School,1549 Wedgefield Cir 60563,3.0,3.5,"1,884"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 3, Full, Finished,," $6,099.20"
Single Family Residential,$160/month,2019,Naperville,,"$749,900","$5,022", 2,,3323 Empress Dr 60564,3.0,3.5,"3,575"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 0, Full," Unfinished,Lookout",," $13,540.28"
Single Family Residential,,1971,Indian Hill,,"$475,000","$2,975", 2, Naperville North High School,1533 Shenandoah Ln 60563,3.0,2,"1,651"," Natural Gas, Forced Air", Central Air, 2,, 0, 5,, None,," $7,321.20"
Single Family Residential,,1994,Bolingbrook,,"$440,000","$2,931", 2, Naperville Central High School,901 Wescott Rd 60440,3.0,2.5,"2,192", Natural Gas, Central Air, 2, 1, 8, 0, Full," Partially Finished,Crawl"," 1,033"," $8,884.78"
Townhouse,$275/month,2012,Mayfair,,"$390,000","$2,800", 2, Metea Valley High School,2535 Dunraven Ave 60540,3.0,2.5,"1,920"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 0,, None,," $7,000"
Townhouse,$283/month,1988,Villas of the Fields,,"$255,000","$1,889", 1, Metea Valley High School,1308 Tennyson Ln 60540,2.0,2.5,"1,274"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 0,, None,," $4,034.24"
Single Family Residential,,1994,West Wind,,"$649,000","$4,008", 3, Metea Valley High School,598 S Whispering Hills Dr 60540,4.0,3,"2,855", Natural Gas, Central Air, 3,, 0, 0, Full, Finished,," $9,324.32"
Single Family Residential,$11/month,1986,University Heights,,"$619,000","$4,024", 2, Naperville Central High School,1007 Shimer Ct 60565,5.0,3,"3,112", Natural Gas, Central Air, 3,, 8, 5, Partial," Unfinished,Crawl"," 1,184"," $11,174.93"
Single Family Residential,,1986,Royal Oaks,,"$729,900","$4,719", 2.5, Naperville North High School,1303 E Gartner Rd 60540,4.0,3.5,"3,854"," Natural Gas, Forced Air", Central Air, 3, 1, 4, 4, Full, Partially Finished," 1,287"," $13,025.50"
Townhouse,$227/month,1999,Windridge,,"$290,000","$2,054", 2, Neuqua Valley High School,2855 Gypsum Cir 60564,2.0,2.5,"1,306"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 0,, None,," $4,600"
